Site,Stand,Plot,Treatment,Ntrt,Ptrt,Species,Al,B,Ca,Fe,K,Mg,Mn,Na,P,S,Sr,Zn,Note,propC,propN,N,CN,Leaf_Number,Mass,Yearcut
BEF,C8,5,Ca,0,0,SM,0.0207,0.0279,11.225,0.0398,5.7618,0.2758,1.5801,0.2801,0.4788,1.0363,0.0228,0.018,,0.4853,0.0064,6.428,75.49,28,6.88,1883
BEF,C8,5,Ca,0,0,YB,0.0149,0.0225,17.2245,0.0384,6.8277,2.3176,2.1442,0.3032,0.4625,0.8091,0.038,0.2674,,0.4841,0.0069,6.947,69.68,26,5.58,1883
BEF,C9,1,Control,0,0,BE,0.0413,0.0143,6.6311,0.0328,2.597,0.7991,1.1558,0.2568,0.1972,0.7354,0.0127,0.0282,,0.5079,0.0066,6.558,77.46,28,4.67,1890
BEF,C9,1,Control,0,0,SM,0.025,0.0283,5.8972,0.0388,4.9207,0.3973,1.3042,0.5247,0.3312,0.895,0.0186,0.0255,,0.4943,0.0056,5.608,88.15,27,7,1890
BEF,C9,1,Control,0,0,YB,0.0166,0.0355,9.6811,0.0352,3.0463,1.2713,1.9857,0.8216,0.3451,0.6448,0.0252,0.2783,,0.5094,0.0078,7.802,65.29,27,5.9,1890
BEF,C9,2,P,0,1,BE,0.0311,0.0192,7.0651,0.035,4.3781,0.4209,1.41,0.2589,0.7292,0.6723,0.013,0.0344,,0.5101,0.0045,4.456,114.47,27,4.2,1890
BEF,C9,2,P,0,1,SM,0.0301,0.0331,5.0444,0.0772,6.7135,0.3299,1.3167,6.0771,1.7576,0.9291,0.0134,0.024,,0.4984,0.009,9.047,55.08,28,6.29,1890
BEF,C9,2,P,0,1,YB,0.0177,0.0402,11.8178,0.0435,5.9872,1.8392,3.0565,0.3031,2.0996,0.7667,0.0278,0.4568,,0.5025,0.0086,8.559,58.7,27,4.5,1890
BEF,C9,3,NP,1,1,BE,0.0282,0.0139,6.8362,0.035,5.236,0.2882,1.4516,5.8763,0.7945,0.6843,0.0129,0.0249,,0.5126,0.0076,7.606,67.4,27,5.47,1890
BEF,C9,3,NP,1,1,SM,0.0314,0.0264,4.3156,0.0499,5.7765,0.3031,1.1901,0.2642,1.2421,0.9767,0.0102,0.0221,,0.49143975,0.013205482,13.19581493,37.25242877,27,7.87,1890
BEF,C9,3,NP,1,1,YB,0.0173,0.03,8.204,0.0406,5.3291,0.8925,2.1974,0.2803,1.2596,0.6043,0.0186,0.2296,,0.507,0.0077,7.675,66.05,27,5.46,1890
BEF,C9,4,N,1,0,BE,0.0263,0.0145,5.0036,0.0466,3.9453,0.6191,1.3412,5.652,0.2657,0.8116,0.0095,0.0222,,0.5142,0.0063,6.343,81.07,27,5.93,1890
BEF,C9,4,N,1,0,SM,0.0298,0.0261,7.2643,0.0487,4.8687,0.4616,2.0459,0.2795,0.287,0.9004,0.0168,0.0234,,0.4956,0.0079,7.941,62.41,27,5.86,1890
BEF,C9,4,N,1,0,YB,0.0154,0.024,8.1577,0.0453,4.6793,0.9882,2.8727,5.8775,0.2745,0.7145,0.016,0.1614,,0.4988,0.01,10.019,49.79,27,4.58,1890
HB,HBCa,1,Ca,0,0,BE,0.0285,0.015,8.7315,0.0435,1.5323,1.413,0.6713,0.0139,0.3154,0.8418,0.0209,0.0302,,0.4998742,0.00585896,5.853959632,86.07406593,27,3.79,
HB,HBCa,1,Ca,0,0,SM,0.0221,0.0275,11.6609,0.0335,4.3136,0.8334,1.0587,0.0281,0.3954,1.1757,0.0449,0.022,,0.478433087,0.005003278,4.988278301,95.65300336,27,5.89,
HB,HBCa,1,Ca,0,0,YB,0.0174,0.0317,16.792,0.0493,4.6254,2.4505,1.1892,0.0428,0.7309,0.8531,0.0569,0.3288,,0.496504587,0.008356797,8.356797272,59.89489287,29,4.99,
HB,HBCa,2,Control,0,0,BE,0.0283,0.0205,8.1292,0.054,3.3338,1.3122,0.7312,0.0181,0.2072,0.914,0.0245,0.0326,,0.497962958,0.00664186,6.616859941,76.17081017,29,5.35,
HB,HBCa,2,Control,0,0,SM,0.0281,0.0359,7.1747,0.0304,3.4347,0.8139,1.0572,0.0227,0.1719,0.8298,0.0347,0.0229,,0.493492282,0.004645649,4.620648818,109.7279096,27,7.65,
HB,HBCa,2,Control,0,0,YB,0.0218,0.0447,13.6262,0.0531,4.9707,2.9465,1.2492,0.0308,0.3875,0.788,0.0611,0.3203,,0.494799576,0.009001395,8.976395255,55.2561993,27,4.03,
HB,HBM,1,NP,1,1,BE,0.0378,0.0273,6.2336,0.0533,2.3595,1.0729,1.9043,0.0188,0.8224,0.7559,0.0187,0.021,,0.501866712,0.006944223,6.919222528,72.28366706,12,1.68,1970
HB,HBM,1,NP,1,1,RM,0.0152,0.0176,5.8703,0.0566,3.0804,0.9241,1.4137,0.0228,1.8261,0.6221,0.014,0.0181,,0.506014818,0.007406316,7.401315876,68.62952991,20,8.58,1970
